berita,tagging
"Kalimat Terakhir KH Maimun Zubair Sebelum Meninggal Tentang Rizieq Shihabkata-kata terakhir mbah Maimoen Zubair bilang sama murid2nya,
 
 *Ndok habaib itu jangan dikatai-katai, darah mereka ada darah rasulullah, habib Rizieq itu wali, jangan dimusuhi, coba saya tanya siapa yg bisa panggil 7 juta orang di monas kalo bukan wali.*",Hoax
"Serangan teroris di AlgeriaTerrorist attack in Algeria, which fails to work because of the pilot’s immense skill",Hoax
"PENJELASAN TENTANG CARA PENANGANAN HIPOTERMIA DENGAN CARA DISETUBUHIYg paling darurat jika sdh sampai tahap hipo mesti disetubuhi. Gw pernah ada kasus cwek hipotermia hampir meninggal di gunung Rinjani, segala cara udh dicoba tpi cewek ini gak membaik, akhirnya ada anak mapala yg berpengalaman yg nyaranin untuk menyetubuhi cewek ini agar suhu tubuhnya hangat, akhirnya salah satu tman dkatnya cowoknya menyetubuhi cewek trsbt. Yg lucunya kami ada 20 org nungguin di luar tenda smbil nunggu si cowok melakukan itu, sambil mnum kopi. Alhamdulillah stelah itu cewek itu terselamatkan.",Hoax
"Tiba di Den Haag, Prabowo ajukan gugatan ke Mahkamah Internasional MMA-UFCTiba di Den Haag, Prabowo ajukan gugatan ke Mahkamah Internasional MMA-UFC",Hoax
Klarifikasi tvOne terkait foto Ustadz Abdul Somad dan Direksi serta karyawan tvOne di akun twitter @saididuRapat UAS dg TV ONE yang sudah dibayar oleh PRABOWO utk mengkondisikan Dukungannya utk pasangan PAS tidak terlepas dari peran KARNI ILYAS . UAS Mendapatkan dana Milyaran Rupiah dari Prabowo yang diambil dananya di AYANA MID PLAZA untuk bangun ISTANA MEGAH #UASDibayarPrabowo,Valid
Penjelasan terkait Novel Baswedan yang Disebut jadi Partisipan Partai Gerindra dan Ketidaknetralan KPK di Pilpres 2019Ternyata Kompol Novel Baswedan Politikus Binaan Gerindra,Valid
"Prabowo Marah Pada Ulama dan Tokoh Masyarakat di MaduraIni @prabowo kasar sekali menegur ulama & tokoh masyarakat di Sumenep Madura, panggil ‘You You’ segala, kalau mau negur pake lah cara yg baik, ini kejadian di Ponpes Assadad Sumenep 26 Feb #PrabowoRajaTega",Hoax
Video Kecelakaan Dua Pelajar Tergilas Bus di Cileungsi BogorChek and Richek,Hoax
"whatsapp akan mengumpulkan dana setiap kali gambar dibagikanBayi ini lahir dlm keadaan buta dan perlu $200,000 untuk perawatannya smp dia bisa melihat kembali. Anda tidak perlu mendonasi satu senpun, tp pihak whatsapp akan mengumpulkan dana setiap kali gambr ini dibagikan.
 Silahkan bagikan",Hoax
"Poster Habib Rizieq Shihab Tarik Dukungan Terhadap PrabowoSeruan Habib Rizieq kepada umat muslim se-Indonesia untuk segera mencabut dukungan kepada Prabowo-Sandi, karena bersedia menerima dukungan dari “PKI”! #CakIminMenangkanJokowi",Hoax
"Jadi sudah tau kan kalau rezim jokowi anti islamJadi sudah tau kan kalau rezim jokowi anti islam
Menggerakan aparat bukanya menjaga pengajian tabligh akbar malah dengan berbagai cara menggagalkan",Hoax
"Klarifikasi Taman Safari Indonesia Terkait Harbonas Sale Tiket Terusan PandaKami atas nama Taman Safari mengecam keras tindakan tidak bertanggung jawab tersebut. Promo yang disebarkan melalui Instagram @tamansafari bukanlah pihak kami, tidak ada promo seperti itu",Valid
"40 Narapidana Kabur Dari Rutan Sialang Bungkuk Pekanbaru[9/12 18:07] HUMAS POLDA RIAU: Sekedar info buat semua :

Telah lepas napi sialang bungkuk sore ini sekitar 40 orang, dimohon untuk waspada, menutup rapat rumah masing-masing, bila ada orang yg tak dikenal jangan di dekati dan layani, bisa jadi mereka mencari sandera utk bisa lepas lebih jauh, info dari adek tugas di brimob, bisa jadi tidak di sebar luas oleh pihak aparat",Hoax
Nissa Sabyan Bantah Diundang Panitia Pesta Raya Porda Jabar 2018 untuk Mengisi AcaraTerkait pemberitaan sabyan batal tampil di stadion pakasari bogor,Valid
"Trump Ketakutan Mendengar Suara Takbir#TakbirMenakutkan
 
 TRUMP KETAKUTAN MENDENGAR SUARA TAKBIR…
 
 Allohu Akbar… 1000x",Hoax
"Prabowo berhutang 17 Triliun rupiah“Prabowo berhutang 17 Triliun rupiah. Mengurus perusahaannya aja dia ngak sanggup, apa lagi mengurus negara..
 @prabowo",Hoax
": KPK Klarifikasi Bahwa Situs kpk-online.com Bukanlah Milik Instansi Pemberantasan Korupsi TersebutKarena beredarnya foto karangan bunga yang seolah-oleh dikirimkan oleh Komisi Pemberantasan Korupsi, kami tegaskan KPK tidak pernah mengirimkan karangan bunga tersebut dan KPK tidak terafiliasi dengan nama organisasi yang disebutkan di sana",Valid
Pesan Berantai Air PAM di Palembang Mati Selama 3 Hari Karena ASIAN Games 2018Menindaklanjuti rencana pekerjaan pemindahan trafo di Intake – Instalasi Pengolahan Air Ogan dalam rangka persiapan Asian Games 2018 pada :,Hoax
Koran dari China yang Memuat Foto Anak di China yang Ber-KTP BandungDi Cina anak-anak kecil ber KTP Bandung. Jadi Indonesia Hebat bisa buatkan KTP mereka. Slogan Pemerintahan skrng Koalisi Indonesia Hebat (KIH),Hoax
"Para Bajingan Tengik PKI Sudah Mulai Terang-teranganPara Bajingan TENGIK PKI SUDAH MULAI TERANG TERANGAN…!!!
 Beliau KH.Umar Basri pengasuh ponpes al-hidayah, dipukul membabi buta saat sedang BERDZIKIR ditempat pengimaman…
 Mohon Selalu waspada di setiap daerah karena mereka yang benci ULAMA Sudah berani terang terangan menyerang Ulama….!!!
 Sekarang beliau dirawat disalah satu RS dicileunyi.
 Semoga KH.umar basri (Ceng Emon) diberikan kesembuhan….amin
 KH. UMAR BASRI (Kg. Emon) Pimp Ponpes Alhidayah Santiong Cicalengka Bandung",Hoax
"Kemendikbud Melarang Game Mobile Legends Karena dianggap Berbahaya(Mohon bisa diteruskan ke para Ortu:(Dari Dir.Dik)
 
 Bapak Ibu.
 
 Untuk kita tahu bersama: Kementerian Pendidikan dan Kebudayaan (Kemendikbud) melalui kanal Sahabat Keluarga-nya mengeluarkan daftar 16 game yg dianggap berbahaya bagi anak. Yaitu: […]",Hoax
"Artikel Tentang Perlawanan Untuk Gulingkan Jokowi yang ditulis TB HasanuddinMenanggapi hal tersebut, TB Hasanuddin pun memberikan klarifikasi lewat akun instagramnya.
 “Beredar artikel yang seolah ditulis oleh TB. HASANUDDIN yang bertajuk MENEGASKAN KEMBALI PERLAWANAN UNTUK GULINGKAN JOKOWI. Opini dimaksud adalah HOAX !!!! Sesuatu yang pasti tidak akan saya lakukan. Nama saya di artikel tersebut pun keliru ejaannya” Tulisnya.",Hoax
"Pemberitahuan Aksi Demo 291PEMBERITAHUAN TERBUKA “AKSI 291″
 DEMO BESAR BESARAN DI. JAKARTA
 ALIANSI NASIONAL DRIVER ONLINE
 TANGGAL 29 JANUARI 2018 AKAN ADA AKSI BESAR BESARAN PULUHAN RIBU DRIVER ONLINE.. AKAN OFFLINE DAN BERDEMO KE ISTANA NEGARA, AKAN TERJADI KONVOI PANJANG DARI SELURUH PENJURU KOTA JAKARTA DENGAN MENGGUNAKAN MOBIL ONLINE NYA MASING MASING.. MENUJU ISTANA NEGARA JAKARTA [...]",Hoax
"Ramai Berita SetNov Warga China Terus DatangDi Tengah Ramainya Berita SetNov, Warga Kebangsaan China Sampai Saat ini Terus Berduyun” Masuk ke Negeri ini
Di Sengaja atau Tidak, Wallahu A’llam
Lebih Parahnya Semua Media Bungkam, Mengecoh Langit Menyebrangi Lautan kah
#Indonesia_Waspada_Komunis
#Generasi_Muda_Akhir_Zaman",Valid
"Makam Tuhan Yesus Kristus Sedang Dibuka Untuk PertamakalinyaMakam Tuhan Yesus Kristus sedang dibuka untuk pertamakalinya. Ini terjadi diYerusalem ketika mereka meluncurkan marmer makam Tuhan Yesus suara Sangkakala terdengar dan awan membentuk lingkaran. Puji Tuhan fenomena yang tidak dapat dijelaskan terjadi hari ini di Israel.
 Like Pelik Tapi Benar”",Valid
"Video: Bantuan Turki Kepada Rohingya Sudah Datang, Erdogan Bukan Aktor PencitraanVideo sumber diklaim sebagai peristiwa Recep Tayyip Erdogan, Presiden Turki, turun langsung membantu etnis Rohingya",Valid
"Pembegal dan Penjambret Akan Balas DendamAssalamu’alaikum… Info dari temen2 grab
 *Bantu bc aja. Mohon perhatian sebentar!*
 Hati2 utk Wilayah seluruh negara indonesian.
 Pihak kepolisian akan melakukan Razia besar2an di semua titik.
 *Razia dilakukn dgn Gabungan mulai dr Mabes, Polda, Polres hingga Polsek.*
 Karena banyak kerabat para Pembegal atau Genk motor yang akan membalas dendam dikarenakan rekan2 mereka banyak yg tertangkap & ada juga yang dibakar.",Hoax
Video Trailer Film RiyantoVideo Trailer Film Riyanto,Hoax
PT Astra Honda Motor Indonesia Bagi-Bagi Motor Honda CBR 250 RRPT Astra Honda Motor Indonesia Bagi-Bagi Motor Honda CBR 250 RR,Hoax
"Taharrush, Budaya Pemerkosaan Massal Kuno Ala Bangsa Arab Menyebar ke EropaMetode pemerkosaan “Taharrush” mulai diperkenalkan oleh para imigran arab di Eropa",Hoax
"Buka Puasa di Jalanan Kota London InggrisBuka puasa dijalanan kota London diadakan warga muslim di Inggris. Ini Foto buka puasa dijalanan kota london, inggris, pemandangan luar biasa ini semoga banyak penduduk barat yang tertarik mempelajari dan memeluk islam.",Hoax
Kereta Cepat yang Digarap China di Iran Lebih Murah dari Kereta Cepat Jakarta-Bandung“Biaya Proyek Kereta Api Cepat China Teheran-Isfahan Lebih Murah dari Jakarta-Bandung.”,Valid
Abu Janda Sebenarnya adalah Cina KafirAbu Janda Sebenarnya adalah Cina Kafir,Hoax
"Bahan Baku Uang Kertas Dollar Amerika Dari Serat Pohon Pisang AbakaBahan baku uang kertas dolar Amerika – Berdasarkan bahan pembuatannya, uang dibagi menjadi dua: uang logam dan uang kertas. Kalau Anda rajin-rajin baca uangindonesia.com pasti sudah tau uang kertas rupiah bukan terbuat dari bahan kertas biasa, melainkan kapas. Oleh karenanya bisa lebih tahan lama meskipun dilipat bolak-balik atau berjam-jam terendam bersama pakaian (cucian)",Hoax
Video Boss China Dibantai Pribumi AmeriKA. INDONESIA KAPAN?*_★PRIBUMI AMERIKA SUDAH TIDAK SUKA ORANGw2 CHINA PENIPU Boss China Dibantai Pribumi AmeriKA… ★INDONESIA KAPAN.???★_*,Hoax
Video Pembacaan AYAT SUCI AL-QURAN OLEH PRESIDEN ERDOGAN DI MASJID HAGIA SHOPIAPembacaan AYAT SUCI AL-QUR’AN OLEH PRESIDEN ERDOGAN DI MASJID HAGIA SHOPIA,Hoax
Video tiktok Hana hanifah di kantor berlogo BINAsyik tiktok Hana hanifah di kantor berlogo BIN Rusak kabeh wess,Hoax
Gambar Tangkapan Layar Berita Viva.co.id Berjudul Kementan Produksi Massal Kalung Antivirus Corona Bulan Depan Dengan Foto Headline Kalung BertaringEntar lagi jual karet gelang. #KalungAntiBego,Hoax
Video PDIP menyuruh orang untuk membakar bendera PDIPNemu vidio di pos di grup Apa ini bener ??? Kalo bener .. K napa pdi p segitunya kalo bikin sekenario ..apa ini sama dg mobil smk dan foto di lobang got..PDIP menyuruh orang untuk membakar bendera PDIP,Hoax
Pesta Homo Seksual di Italia Sebelum Covid-19 MewabahSANGAT MENGERIKAN DAN MENJIJIKAN Inilah Pesta terakhir yang dibuat di Italy. Kenapa wabah Corona menyerang Italy dengan begitu dahsyat ? Kenapa Allah terbalikkan bumi dizaman nabi Luth ?,Hoax
Picture of In Italy they throw their money on the streetsIn Italy they throw their money on the streets. A clear message to the whole world is that money is not enough when health be in danger,Hoax
"Narasi Pesan Himbauan Pencegahan Virus Corona Mengatasnamakan UNICEF*INFORMASI PENTING*
 
 
 1. Corona merupakan virus berukuran besar. Diameter virus ini 400-500 micro, sehingga masker jenis apa pun dapat mencegah masuknya ke tubuh kita dan tidak perlu menggunakan masker yang mahal.",Hoax
"Pesan Berantai WhatsApp Tiga Warga Yogyakarta Terjangkit Virus CoronaBarusan pak bojo crita, kl td ketemuan sama dinas kesehatan, di yogya sdh ada 3 org yg terinfeksi virus covid 19, anak ugm, asli bali. Total di indonesia sampe siang td sdh ada 16 org.
 
 Jd berhati2 nih besok naik kereta, dikeramean dan mesti pegang gagang2 pintu, konon katanya bs tertular dr logam ya… kudu siap2 sanitazer ato apa yg ampuh ya?",Hoax
Tangkapan Layar Rieke Dyah:Aku Bingung Memangnya Kalau PKI Bangkit Kembali Kenapa?Ada Masalah Ya?Rieke Dyah:”Aku Bingung Memangnya Kalau PKI Bangkit Kembali Kenapa?Ada Masalah Ya?”,Hoax
"Bendungan Bili-Bili Melewati Batas Angka NormalCurah hujan tinggi di Sulawesi Selatan khususnya wilayah kota Makassar dan Kabupaten Gowa, yang terjadi dini hari kemungkinan membuat elevasi bendungan Bili-Bili terus mengalami kenaikan….",Hoax
Reynhard Sinaga Dipulangkan ke Tanah AirJangan sampai penjahat kelamin ini dipulangkan ke tanah air. Kuatir dianggap lucu2 an dan diam2 dapat keringanan hukum,Hoax
Polisi Pastikan Tak Ada Korban Meninggal dalam Aksi Mahasiswa di SoloTidak ada korban yang meninggal. Kabar meninggal yang menyebar itu hoaks atau palsu,Hoax
"Opini dari Dahlan Iskan MENYEMBAH TUHAN, MENGABAIKAN KEMANUSIAANOpini dari Dahlan Iskan
 MENYEMBAH TUHAN, MENGABAIKAN KEMANUSIAAN
 Pagi ini Djarum Group memasang iklan kemasyarakatan 4 halaman di Jawa Pos, 50 thn melayani negeri dengan segudang prestasi. Selain telah melahirkan atlet Bulu Tangkis kelas dunia, 11 diantaranya mempersembahkan medali olimpiade, dan telah membina 5.000 atlet sejak 1969. Menanam 2 jt pohon pada pinggir jalan sepanjang 2.307 km di Jawa-Madura yg bisa menyerap 2,9 jt ton CO2, Beasiswa Plus untuk 11 ribu anak didik, 52.000 org mendapat rawatan medis gratis, 28.000 org mendapat bantuan air bersih, dan banyak lagi, selain tentunya pekerja yg menggantungkan hidupnya bekerja di pabrik rokok djarum ( rokok antara mematikan dan membuat kehidupan ).",Hoax
"Korban main game, kalo sudah kena syaraf seperti ini bagaimana coba?korban main game , sdh ada di kec. Dukun , muntilan , ..bs di sampaikn ke siswa2 kalo sdh kena syaraf seperti ini bagaimana coba ? Masa depan masih panjang ….himbauan untuk siswa agar HP/ smartphone digunakan secara bijak dan untuk hal positif .
 # peringatan jg untuk kita sbg orangtua untuk anak2 kita",Hoax
"Madura kacau, ribuan warga Sampang, Madura kepung KPU tuntut kecurangan massa bentrok dengan PolisiPecah!! Madura kacau, ribuan warga Sampang madura kepung KPU tuntut kecurangan massa bentrok dgn polisi, KPU berhadapan dgn rakyat",Hoax
"Kwik Kian Gie Minta KPK Selidiki Apel Kebangsaan Pemprov JatengMenurut sy acara seperti ini untuk apa, mnfaatnya apa bagi rkyat Yg jelas acara sperti ini mnghambur2kn uang rakyat Baiknya di gunakn untk korban2 bncana yg terbukti mmbutuhkan bantuan Awas Berujung Kampanye @KPK_RI mohon selidiki",Hoax
mereka sering hadiri acara2 PKI“Pki itu nyata ada dan bangkit lagi!! Pantesan selalu memusuhi ulama dan umat islam…trus sigoblog bilang klo ada pki dipukul aja??,Hoax
"Tentara Merah RRC Berkamuflase Jadi Banser“TENTARA MERAH RRC..
 BERKAMUFLASE JADI BANSER DAN ANSOR..
 SASARANYA mengadu domba unat ISLAM..
 WASPADA..",Hoax
"KPK Bantah Terima Tiket Gratis Asian Games dari Erick TohirWakil Ketua Komisi Pemberantasan Korupsi (KPK), Saut Situmorang membantah institusinya menerima tiket gratis Asian Games 2018 dari Ketua Indonesia Asian Games 2018 Organizing Committee (INASGOC), Erick Thohir.",Valid
Klarifikasi Kemenkes Terkait Tuduhan Penggunaan Foto Tanpa Izin Untuk Bungkus Rokokfoto pria menggendong anak yang digunakan pada bungkus rokok bukanlah Dadang.,Valid
Foto Unjuk Rasa Driver Go-Jek Hasil SuntinganKAMI SIAP MEMILIH BPK PRABOWO MENJADI PRESIDEN INDONESIA,Hoax
"Video Transmart Bocor dengan Kucuran Air yang Deras dan Banjir Kecoklatan bukan di Yasmin dan Duta Mall“Itu bukan di kami, itu hoax, di kami ada juga kejadian pada hari minggu tapi tidak sperti yang di dalam video itu, tidak ada air sebesar itu dan genangan air,” ujar Corporate Communications GM Transmart Carrefour Tajur, Satria Hamid,” Selasa (26/6).",Valid
: Polsek Kintap Mengamankan Seseorang yang diduga Membagikan Uang dan Sembako Saat Pemilumembagikan uang dan sembako,Hoax
"50 Km Wilayah Indonesia Diambil MalaysiaSemalam ketemu temen lama yang tinggal di kalimantan, menurut 
 infonya bahwa Malaysia sudah mencaplok 50 km wilayah Indonesia, karena 
 daerah perbatasan tak diperhatikan kemakmurannya.
 Lah katanya kerja, trus kerja apa ?
 Tolong bantuan tuips mengklarifikasi kebenaran info ini.",Hoax
"Informasi Terjadinya Perampokan di Perumahan Puri Khasanah 3 Cipayung, DepokAda rampok jam 9 pagi di perumahan *Puri khasanah 3* Cipayung Depok.
 Mereka jalan bersama2 spt keluarga dan bertamu, yg ternyata mau merampok.
 Bila kita melihat ada org bertamu spt sepasang suami istri, adik dan anak2nya tentunya kita tdk akan curiga.
 Tp ini nyt akhirnya ketauan.
 Waspada lah n wajib curigai siapapun dia yg tak dikenal krn bisa membahayakan..",Hoax
Rumah Kosong Berhantu Beli MotorRumah Kosong Berhantu Beli Motor,Hoax
"J.CO Memang Mengandung Minyak BabiBermula siang tadi ketika perut udah berasa sedikit lapar….
Diruang staf tempat kerja ada beginian…
Dan dilihat masih utuh……
Lalu ane bawa lah buat di tawarin ke temen2 kerja……
Dan anehnya mereka bilang udah pada kenyang,….
Ane penasaran ada apa nih, dan ternyata salah satu temen bilang, …..begini bilang nya…",Hoax
"JARI TANGAN PRIA MENGHITAM SETELAH MEMBAKAR AL-QURANSetelah Membakar Al-Qur’an Jari Tangan Pria Ini Menghitam dan Membusuk Mengeluarkan Bau Menjijikan”
 Postingan sudah dibagikan 320 kali dan 1500 kali, ketika tangkapan layar dibuat.",Valid
: Pemberian Izin Eksploitasi Emas Menggunakan Alat Berat di BanyuangiPemberian Izin Eksploitasi Emas Menggunakan Alat Berat di Banyuangi,Valid
"BAHAYA TANAMAN PENYEBAB LEUKIMIAYang WA ini teman saya juga dokter.
 BAHAYA PENYAKIT LEUKIMIA !!!!
 Adik ipar saya umur 31 tahun baru meninggal semalam disebabkan oleh Leukimia. Almarhum semasa hidupnya meneliti untuk gelar Master in Botanical di kampus USM mengkaji sejenis tumbuhan ini. Rekan satu tim research beliau sudah meninggal setahun yang lalu mengidap penyakit leukimia juga. Almarhum dapat bertahan hingga semalam. Memang hasil penelitiannya telah disahkan oleh pihak kampus USM dan pihak Kementrian Kesehatan bahwa Leukimia itu dapat ditimbulkan dari tumbuhan tersebut. Jadi cerita D Hizzad Bole penyebab kanker darah (Leukimia) ternyata terbukti.",Hoax
Foto Pelaku Penjarahan Mini Market Pada 4 November 2016 Selepas Aksi 411Nih oknum perampokan minimarket di hari demo umat islam kemarin.liat mukanya ky ahok semua….,Hoax
"Foto RASUL NYA CEBONG,,RASUL NYA CEBONG,,",Hoax
Pesan Berantai Pemerintah Menyediakan Laptop Gratis Untuk Siswa dan GuruPemerintah Menyediakan Laptop Gratis Untuk Siswa dan Guru. Klik Di Bawah Ini untuk Memesan Laptop Gratis Anda Sekarang http://laptops[dot]offers247[dot]online/id,Hoax
Form PENDATAAN USAHA MIKRO DAN ULTRA MIKROForm PENDATAAN USAHA MIKRO DAN ULTRA MIKRO,Hoax
"Pesan Fadli Zon kepada SBY: Saya Kena Bully Setiap Hari, Masak Saya Dibilang Ikan BuntalPesan Fadli Zon kepada SBY: Saya Kena Bully Setiap Hari, Masak Saya Dibilang ‘Ikan Buntal",Hoax
"Foto Sekarang malesiya sapu habis penduduk asing...Perhatian perhatian Sekarang malesiya makin darurat Buat TKI/TKW yg ada di malesiya TERMAKSUD… Org tua kalin,pacar,saudara,atau tetanganya Harap berhati -hati. Sekarang malesiya sapu habis penduduk asing…",Hoax
"Warga MB Ketapang Kotawaringin Timur Sudah Diperbolehkan Shalat Jumat dan Tarawih di MasjidAssalamu’alaikum wr wb di sampaikan bahwa Kecamatan MB Ketapang Sampit Kab. Kotim sdh bebas sholat Jumat dan Tarawih dan jamaah fardhu di Masjid/Langgar/Mushalla krn sdh menjadi Zona Hijau (yang positif kena virus Corona sdh tdk ada lagi, ttp tetap pakai masker dan jaga jarak). Pesan ini dari Ketua MUI Kab Kotim (Drs H. Amrullah Hadi) dan Ketua Komisi Fatwa MUI Kab Kotim (KH Zainuddin Imberan)",Hoax
"Pesan Berantai Taman Raya Tahap V Zona Merah COVID-19Info terbaru bapak ibu tamam raya tahap lima positif 3orang, kronologis pasien kontak dengan kerabat yg pulang dari malaysia, dan taman raya tahap 5 ditetapkan zona merah. Tim medis yg bertindak awal dari puskesmas botania, dan pasien sudah dibawa ke RS galang",Hoax
Video Hati yg suka mkn tlr. Orang cina bunuh orang tuh plan tapi pastiHati” yg suka mkn tlr. Orang cina bunuh orang tuh plan tapi pasti… yg mau brbagi info silahkan..,Hoax
"Ini kiriman video betapa dahsyatnya wabah covid 19 di AmerikaIni kiriman video betapa dahsyatnya wabah covid 19 di Amerika. Video ini dari murid saya yg tinggal di Amerika. Ini yg diliput di Brooklyn utk mengingatkan semua, jgn menganggap enteng virus covid 19 ini. Mayat2 Muslim diserahkan ke komunitas (Arab) utk dimakamkan karena Pemerintah setempat sudah kewalahan. Komunitas ini menerima mayat puluhan orang perharinya kurang lebih 55 orang. Jenazah2 itu digeletakin begitu saja di ruang kantor menunggu antre untuk dimakamkan. Jadi tolong, sahabat2 di Tanah air jangan anggap enteng virus covid 19 ini, tetap pakai masker,seringlah cuci tangan dan setiap habis dari luar rumah segera mandi. Dan jangan pernah lupa berdoa kepada Allah SWT agar kita senantiasa berada didalam lindunganNYA. Aamiin Yaa Rabbal Aalamiin",Hoax
"Foto 59 Orang Jemaat Gereja Tew4s Minum Dettol demi Cegah C0R0NASeorang pemuka agama di Afrika Selatan, Rufus Phala diduga memberi para anggotanya Dettol, sejenis antiseptic untuk obat luar. Mereka meminum Dettol sebagai obat pencegahan bagi virus corona atau Coronavirus dan juga sebagai tanda iman selama kebaktian gereja. Sejumlah 59 orang dipastikan tewas, sedangkan 4 lainnya dalam kondisi kritis setelah minum Dettol. Saat ini polisi sedang menyelidiki insiden itu. Menurut polisi, pengikut Rufus Phala yang mengaku seorang nabi sudah tertipu dan dibuat percaya, bahwa dettol akan menjauhkan mereka dari tertular virus Corona yang mematikan dan penyakit lainnya",Hoax
"Firus Corona Sudah Masuk Di Saudi ArabiaViralkan 🔊🔊Firus Corona Sudah Masuk Di Saudi Arabia
 Menteri Kesehatan Saudi Arabia dalam keterangan Pers menyampaikan data Akhir virus Corona di negaranya. Terinfeksi Corona : 224 Orang
 Proponsi Jeddah : 64 Orang
 Meninggal : 18 Orang",Hoax
"China Menunggu Kekacauan Indonesia, Bila Indonesia Sudah Kacau, China Akan Masuk Ke Indonesia Dengan Alasan Mengamankan Harta MerekaChina Menunggu Kekacauan Indonesia, Bila Indonesia Sudah Kacau, China Akan Masuk Ke Indonesia Dengan Alasan : Mengamankan Harta Mereka Yang Di Pinjamkan Untuk Indonesia",Hoax
Susi Pudjiastuti Sudah Menjadi Dirut Garuda yang Baru Pada 7 Desember 2019Slamat bekerja bu Susi Dirut garuda yg baru.ibu susi Dirut garuda yg baru.insya allah kendala harga tiket mahal slama ini menjadi ada penurunan,Hoax
"kemunculan Oarfish pertanda gempa bumi dahsyat bahkan tsunami“Ikan Oarfish, ditemukan oleh pemancing di laut selayar, Ikan oarfish adalah Makhluk Laut yang Dianggap sebagai Pertanda Datangnya Gempa Bumi. Ikan oarfish hidup di laut dengan kedalaman 100 hingga 1.000 meter. ia jarang sekali muncul ke permukaan air jika tidak ada hal yang mengharuskan ia muncul. Nah, kemunculan Oarfish sering kali terkena gempa bumi dahsyat bahkan tsunami.",Hoax
"Restoran Sederhana Ulang Tahun Ke-15 Membagikan Makanan GratisRestoran Sederhana sedang merayakan ulang tahun ke-15 di Indonesia dan untuk waktu yang terbatas, kami akan membagikan makanan gratis di salah satu restoran kami! Saya sudah menerima undangan untuk makan gratis!",Hoax
"Rekayasa Lalu Lintas di Jalan Kemang RayaTiga jalurnya, bingung warganya, siapa dulu dong gabenernya",Hoax
Polisi Bantah Tetapkan Status Siaga 1 di JakartaInformasi tersebut tidak bena\,Hoax
"Video pemukulan di balik tiraiBerdasarkan hasil penelusuran, ditemukan fakta bahwa kejadian di video tersebut tidak terjadi di Indonesia, melainkan di Thailand.",Hoax
Foto Jokowi Meneteskan Air Mata Hasil SuntinganPak Jokowi😭😭,Hoax
"Pawai penyambutan Pak Prabowo di BandungPawai penyambutan Pak Prabowo di Bandung, tdk ada satu media pun yg menyiarkan.",Hoax
"Dua Anak Yatim Piatu Tidur Di Dalam ATM Pom Bensin Galur Cempaka PutihBagi yg lewat ke Pom Bensin Galur Cempaka Putih, mohon kasih sedekah ade ini.
Dia berusia 7 tahun bersama adiknya berusia 4 tahun, mereka sering tidur di ATM ini kadang di jalan kalau di usir.
Mereka yatim piatu. Ayah dan Ibu nya meninggal karena sakit, sekarang mereka hanya berdua hidup di kota besar Jakarta.
Sehari hari mereka memulung botol bekas dan kardus untuk makan sehari hari.
Sedih lihatnya. ?",Valid
Warga cina di tangkap anggota TNI AD karena membuat ktp palsu“Warga cina di tangkap anggota TNI AD karena membuat ktp palsu yg nanti nya akan di suruh memilih jokowi.luar biasa jokowi.kita harus berterima kasih sama tni bravo TNI bersama rakyat”,Hoax
": BBKSDA Jatim Mengklarifikasi Bahwa Wisata Alam Kawah Ijen Masih dibukaMenyusul beredarnya surat edaran rencana penutupan Kawah Ijen, Balai Besar KSDA Jawa Timur langsung menerbitkan surat edaran susulan. Kawah Ijen tetap buka.",Valid
Kadis LH DKI Jakarta Tidak Meminta Sejumlah Uang untuk Keperluan Tertentu melalui Akun Media Sosialdgn modus minta bantuan dana yatim piatu dll..,Valid
"Video Pemotor yang Melintas di JLNT Casablanca Tak Ditilang Polisi Karena Punya Black CardGila, punya black card anjir",Hoax
"TIDAK ADA PENYERANGAN RUMAH IBADAH DI DESA PAUH RANAP RIAUSudah kita klarifikasi langsung ke para pihak tidak ada terjadi seperti diberita tersebut, anggota saya sudah datang langsung",Valid
"Jokowi dituduh Jual Belikan Undangan Pernikahan Kahiyang-Bobby, Istana Angkat BicaraSebuah video yang diunggah ke Instagram oleh akun @arseto.suryoadji. Dalam video tersebut, si pemilik akun mengatakan: “Gua buka ke publik ya, gua laporin ke Polda kalau perlu sekarang. Waktu Jokowi kawinan undangannya itu dijualin Rp 25 juta satu undangan sama orang-orang pendukung Jokowi, cuih
 Dasar koruptor lo semua koruptor, hah? Gua Arseto, mau apa lo? Mau nge-bully gua, gua bully lo emang lo koruptor, emang lo penjahat semua. Pendukungnya sama presidennya semua kok sama?
 Orang gila semua itu, main proyek. Emang baj**an-baj**an, se**n-se**n itu, beneran. Dan Jokowi udah tambah kaya sekarang, bisa bayar semua. (Suara samar-samar) itu boneka aja di belakangnya main korupsi semua itu. Yang bawa aja itu undangan dijual 25 juta, udah gila-gilaan dah mereka.”",Valid
"Konsumen Tuntut Produk Quaker Oats Karena Mengandung PestisidaKonsumen menuntut Pepscico memberikan ganti rugi. Namun demikian, pihak Pepsico enggan mengomentari perkara ini. … Tuntutan yang dilayangkan konsumen tersebut menyatakan bahwa citra Quaker Oats yang menampilkan potret pria Quaker dengan topi era kolonial bersifat menjebak. Pasalnya, konsumen seakan diajak berpikir bahwa oatmeal adalah makanan lawas, namun uji yang dilakukan menemukan produk itu mengandung biosida modern.",Valid
